year,state,sightings
98,MN,1
98,NH,1
98,OH,1
98,WI,1
98,MN,1
98,VT,1
98,TX,1
98,TX,1
98,MO,1
98,TX,1
98,WI,1
98,CO,1
98,MS,1
98,MO,1
98,ON,1
98,OK,1
98,IN,1
98,IA,1
98,MN,1
98,MN,1
98,TX,1
98,TX,1
98,MS,1
98,TX,1
98,VA,1
98,WA,1
98,LA,1
98,MA,1
98,VT,1
99,VA,1
99,VA,1
99,AR,1
99,TX,1
99,NJ,1
99,VA,1
99,VA,1
99,WI,1
99,NJ,1
99,MI,1
99,VA,1
99,WI,1
99,OH,1
99,MA,1
99,NY,1
99,MS,1
99,VT,1
99,WI,1
99,WI,1
99,AL,1
99,VA,1
99,MI,1
99,GA,1
99,VA,1
99,OK,1
99,OH,1
99,TX,1
99,OH,1
99,GA,1
99,ON,1
99,CT,1
99,WI,1
99,RI,1
99,MA,1
99,NH,1
99,NY,1
99,MA,1
99,MD,1
99,PA,1
99,VA,1
99,OK,1
99,MA,1
99,WI,1
99,TX,1
99,WI,1
99,WI,1
99,MO,1
99,MO,1
99,OH,1
99,NY,1
99,IL,1
99,IA,1
99,ON,1
99,SD,1
99,WI,1
99,NY,1
99,ON,1
99,MN,1
99,MI,1
00,TX,1
00,FL,1
00,MS,1
00,NY,1
00,IA,1
00,NY,1
00,NY,1
00,NY,1
00,NY,1
00,MN,1
00,ND,1
00,MN,1
00,MA,1
00,MO,1
00,MO,1
00,IA,1
00,WI,1
00,NY,1
00,DC,1
00,IL,1
00,TN,1
00,OH,1
00,UT,1
00,KS,1
00,WI,1
00,CO,1
00,CO,1
00,SD,1
00,NY,1
01,FL,1
01,LA,1
01,MI,1
01,IA,15
01,MA,1
01,ON,1
02,TX,2
02,AL,6
02,NJ,2
03,WI,4
04,CA,1
04,MA,1
06,OK,1
07,OH,1
07,PA,2
08,MIC,1
08,FL,1
08,CA,1
08,NY,1
08,NY,5
08,NY,5
08,NY,2
08,IA,4
09,CA,1
09,CA,1
09,MIC,1
09,CA,1
09,CA,1
09,CA,1
09,CA,1
09,TX,1
09,CA,1
09,CA,1
09,TX,1
09,FL,1
09,TX,1
09,TX,1
09,MA,1
09,MS,1
09,GA,1
09,TX,1
09,TX,1
09,GA,1
09,SC,1
09,ME,1
09,VA,1
09,CT,1
09,NS,1
09,NS,1
09,NH,1
09,NS,1
09,IA,1
09,NH,1
09,NM,1
09,VT,1
09,VT,1
09,NH,1
09,MI,1
09,NY,1
09,IL,1
09,CT,1
09,ME,1
09,VT,1
09,IL,1
09,IL,1
09,SC,1
09,MN,1
09,MA,1
09,SC,1
09,NJ,1
09,VT,1
09,NY,1
09,NJ,1
09,MA,1
09,MO,1
09,NJ,1
09,RI,1
09,MO,1
09,LA,1
09,PA,1
09,NH,1
09,ME,1
09,OR,1
09,MS,1
09,IL,1
09,TX,1
09,VT,1
09,VT,1
09,VT,1
09,VT,1
09,ME,1
09,NY,1
10,CA,1
10,FL,1
10,MIC,1
10,MIC,1
10,FL,1
10,TX,1
10,TX,1
10,FL,1
10,CA,1
10,LA,1
10,VA,1
10,VA,1
10,CA,1
10,FL,1
10,TX,1
10,TX,1
10,TX,1
10,LA,1
10,FL,1
10,FL,1
10,FL,1
10,FL,1
10,AZ,1
10,FL,1
10,CA,1
10,TX,1
10,IL,1
10,CA,1
10,FL,1
10,FL,1
10,TX,1
10,CA,1
10,CA,1
10,NL,1
10,ME,1
10,PA,1
10,NL,1
10,FL,1
10,LA,1
10,TX,1
10,NL,1
10,SC,1
10,COA,1
10,PA,1
10,FL,1
10,TX,1
10,COA,1
10,LA,1
10,NL,1
10,OK,1
10,OK,1
10,AL,1
10,TX,1
10,CA,1
10,MS,1
10,NY,1
10,FL,1
10,AZ,1
10,TX,1
10,NS,1
10,LA,1
10,NY,1
10,NJ,1
10,FL,1
10,FL,1
10,TX,1
10,AR,1
10,VA,1
10,FL,1
10,TX,1
10,FL,1
10,NY,1
10,QUE,1
10,LA,1
10,GA,1
10,FL,1
10,LA,1
10,FL,1
10,CA,1
10,CA,1
10,GA,1
10,FL,1
10,AZ,1
10,SLP,1
10,TX,1
10,CA,1
10,CA,1
10,OH,1
10,TX,1
10,OK,1
10,FL,1
10,DE,1
10,FL,1
10,CA,1
10,TX,1
10,NC,1
10,TX,1
10,AZ,1
10,Bay Islands Department,1
10,FL,1
10,TX,1
10,CA,1
10,TX,1
10,FL,1
10,AZ,1
10,OK,1
10,TX,1
10,TX,1
10,TX,1
10,CT,1
10,TX,3
10,TX,1
10,AZ,1
10,AZ,1
10,CA,1
10,GA,1
10,SLP,1
10,FL,1
10,TX,1
10,CA,1
10,FL,1
10,AZ,1
10,TX,1
10,TX,1
10,TX,1
10,FL,1
10,TX,1
10,ON,1
10,SC,1
10,TX,1
10,CA,1
10,CA,1
10,CA,1
10,AR,1
10,FL,1
10,CA,1
10,CA,1
10,ON,1
10,CA,1
10,CA,1
10,SC,1
10,IA,1
10,FL,1
10,TX,1
10,NJ,1
10,TX,1
10,TX,1
10,TX,1
10,FL,1
10,TX,1
10,NL,1
10,NL,1
10,LA,1
10,AL,1
10,LA,1
10,FL,1
10,TX,1
10,SC,1
10,CA,1
10,SC,1
10,MI,1
10,NJ,1
10,LA,1
10,TX,1
10,PA,1
10,SC,1
10,GUA,1
10,COA,1
10,COA,1
10,NC,1
10,FL,1
10,LA,1
10,OK,1
10,TX,1
10,CA,1
10,NC,1
10,MD,1
10,MS,1
10,COA,1
10,NJ,1
10,NJ,1
10,LA,1
10,MI,1
10,AZ,1
10,TX,1
10,MO,1
10,FL,1
10,NL,1
10,MS,1
10,AZ,1
10,TX,1
10,TX,1
10,FL,1
10,FL,1
10,IL,1
10,MD,1
10,AR,1
10,GA,1
10,NY,1
10,TX,1
10,MS,1
10,MS,1
10,NC,1
10,MO,1
10,TX,1
10,PA,1
10,CA,1
10,TX,1
10,TX,1
10,COA,1
10,GRO,1
10,NH,1
10,SC,1
10,PA,1
10,TX,1
10,TX,1
10,TX,1
10,TX,1
10,VA,1
10,MD,1
10,KS,1
10,TX,1
10,KS,1
10,CA,1
10,VA,1
10,IL,1
10,FL,1
10,TN,1
10,CA,1
10,OH,1
10,AR,1
10,TX,1
10,OH,1
10,MO,1
10,MO,1
10,GUA,1
10,TX,1
10,COA,1
10,TX,1
10,ON,1
10,FL,1
10,CA,1
10,TX,1
10,TX,1
10,CA,1
10,NY,1
10,TX,1
10,TN,1
10,FL,1
10,QUE,1
10,NL,1
10,COA,1
10,COA,1
10,PA,1
10,PA,1
10,CA,1
10,NY,1
10,GA,1
10,PA,1
10,IL,1
10,TX,1
10,KS,1
10,TX,1
10,NY,1
10,NY,1
10,NY,1
10,ON,1
10,TX,1
10,NL,1
10,COA,1
10,COA,1
10,IN,1
10,OK,1
10,PA,1
10,AZ,1
10,FL,1
10,VA,1
10,TX,1
10,TX,1
10,MD,1
10,VA,1
10,PA,1
10,TX,1
10,TX,1
10,GA,1
10,KS,1
10,CA,1
10,OK,1
10,TX,1
10,TX,1
10,TX,1
10,PA,1
10,KS,1
10,MO,1
10,ON,1
10,CA,1
10,NL,1
10,WI,1
10,TX,1
10,ON,1
10,COA,1
10,TX,1
10,CA,1
10,TX,1
10,IL,1
10,IL,1
10,QUE,1
10,TX,1
10,TX,1
10,AZ,1
10,FL,1
10,MD,1
10,TN,1
10,MO,1
10,IN,1
10,NC,1
10,NJ,1
10,IA,1
10,NC,1
10,TX,1
10,PA,1
10,TX,1
10,TX,1
10,PA,1
10,MO,1
10,COA,1
10,ON,1
10,NL,1
10,TX,1
10,NC,1
10,GA,1
10,TX,1
10,TX,1
10,GA,1
10,IL,1
10,TN,1
10,IL,1
10,TX,1
10,MO,1
10,CA,1
10,VA,1
10,COA,1
10,LA,1
10,IL,1
10,TX,1
